angles=2_result, angles=4_result, angles=8_result, angles=16_result, angles=2_time, angles=4_time, angles=8_time, angles=16_time
0.0000, 0.0020, 0.0010, 0.0009, 24605.0000, 22829.0000, 24179.0000, 22345.0000
0.2160, 0.1220, 0.0798, 0.0429, 84100.0000, 60820.0000, 41936.0000, 31365.0000
0.6770, 0.3740, 0.2846, 0.1982, 680324.0000, 360047.0000, 215139.0000, 118488.0000
0.0010, 0.0000, 0.0000, 0.0000, 29642.0000, 25992.0000, 25148.0000, 25173.0000
0.3430, 0.2690, 0.1683, 0.1089, 209386.0000, 119561.0000, 74708.0000, 45207.0000
0.6640, 0.4720, 0.3385, 0.2125, 480181.0000, 327149.0000, 202401.0000, 119625.0000
0.5050, 0.3140, 0.1923, 0.1000, 147394.0000, 95053.0000, 63834.0000, 42216.0000
0.7340, 0.5590, 0.4154, 0.2929, 961273.0000, 756706.0000, 580072.0000, 336473.0000
0.7980, 0.6470, 0.5087, 0.3688, 143358.0000, 158092.0000, 148182.0000, 99291.0000
0.0530, 0.0240, 0.0154, 0.0071, 75535.0000, 50273.0000, 38839.0000, 36590.0000
0.0630, 0.0310, 0.0221, 0.0089, 27702.0000, 27412.0000, 27114.0000, 24871.0000
0.1170, 0.0510, 0.0375, 0.0187, 98050.0000, 49070.0000, 37596.0000, 33976.0000
0.3220, 0.2030, 0.0885, 0.0857, 818349.0000, 426777.0000, 260312.0000, 130483.0000
0.0330, 0.0330, 0.0202, 0.0071, 81569.0000, 46887.0000, 41667.0000, 35958.0000
0.1510, 0.0750, 0.0490, 0.0259, 638165.0000, 361898.0000, 207308.0000, 124523.0000
0.9520, 0.7760, 0.5913, 0.3964, 1036298.0000, 762577.0000, 547352.0000, 324344.0000
0.0210, 0.0070, 0.0067, 0.0054, 63167.0000, 32489.0000, 31675.0000, 24307.0000
0.3290, 0.1460, 0.0904, 0.0750, 110481.0000, 52468.0000, 47368.0000, 39072.0000
0.0010, 0.0010, 0.0010, 0.0000, 32165.0000, 28236.0000, 29469.0000, 26926.0000
0.1220, 0.0690, 0.0269, 0.0214, 72654.0000, 40819.0000, 34859.0000, 30378.0000
0.6930, 0.5500, 0.2981, 0.2152, 1225998.0000, 736836.0000, 456824.0000, 257330.0000
0.0110, 0.0070, 0.0000, 0.0000, 34327.0000, 33746.0000, 30016.0000, 27100.0000
0.7310, 0.6220, 0.4490, 0.3500, 1060532.0000, 677345.0000, 592846.0000, 346556.0000
0.2870, 0.1680, 0.1365, 0.0750, 641922.0000, 362982.0000, 215149.0000, 116743.0000
0.0920, 0.0740, 0.0433, 0.0375, 155749.0000, 106258.0000, 68938.0000, 46605.0000
0.0060, 0.0030, 0.0010, 0.0018, 43429.0000, 32194.0000, 29444.0000, 24772.0000
0.3270, 0.2160, 0.1346, 0.0920, 441981.0000, 235849.0000, 147233.0000, 84650.0000
0.1470, 0.0860, 0.0365, 0.0152, 83618.0000, 53915.0000, 42120.0000, 31934.0000
0.0580, 0.0230, 0.0192, 0.0062, 30835.0000, 28863.0000, 26554.0000, 24852.0000
0.0310, 0.0160, 0.0096, 0.0062, 31648.0000, 27021.0000, 25556.0000, 22814.0000
0.0770, 0.0500, 0.0221, 0.0134, 75626.0000, 51642.0000, 37252.0000, 29776.0000
0.2940, 0.1700, 0.1058, 0.0705, 409170.0000, 219140.0000, 132925.0000, 78330.0000
0.0520, 0.0390, 0.0173, 0.0054, 71158.0000, 49394.0000, 39187.0000, 31733.0000
0.4890, 0.2590, 0.1731, 0.0875, 166936.0000, 103165.0000, 72671.0000, 49730.0000
0.3040, 0.1680, 0.1029, 0.0830, 124860.0000, 80614.0000, 53783.0000, 37036.0000
0.0020, 0.0000, 0.0000, 0.0000, 46123.0000, 36724.0000, 31515.0000, 27816.0000
0.1360, 0.0760, 0.0452, 0.0286, 227418.0000, 135452.0000, 82983.0000, 51724.0000
0.0050, 0.0040, 0.0000, 0.0000, 32992.0000, 30480.0000, 30409.0000, 27539.0000
0.1330, 0.0800, 0.0413, 0.0205, 81483.0000, 53714.0000, 39368.0000, 31875.0000
0.1250, 0.0770, 0.0279, 0.0080, 36502.0000, 29214.0000, 26141.0000, 24442.0000
0.2850, 0.1540, 0.0942, 0.0562, 242599.0000, 137587.0000, 86212.0000, 50509.0000
0.0010, 0.0000, 0.0000, 0.0000, 26449.0000, 24747.0000, 23793.0000, 22555.0000
0.0010, 0.0030, 0.0000, 0.0000, 33109.0000, 31024.0000, 33881.0000, 30406.0000
0.0060, 0.0080, 0.0000, 0.0027, 40695.0000, 34084.0000, 30546.0000, 31774.0000
0.5690, 0.4110, 0.2163, 0.1902, 405669.0000, 253271.0000, 162943.0000, 112924.0000
0.9050, 0.6360, 0.5087, 0.3768, 948201.0000, 660348.0000, 479947.0000, 382025.0000
0.3250, 0.2240, 0.1279, 0.1054, 737012.0000, 380116.0000, 235663.0000, 124782.0000
0.7060, 0.5670, 0.3500, 0.2536, 360551.0000, 216312.0000, 155451.0000, 101020.0000
0.6090, 0.5020, 0.3865, 0.3214, 396033.0000, 240847.0000, 153405.0000, 89273.0000
0.1830, 0.1110, 0.0952, 0.0759, 141637.0000, 85961.0000, 55741.0000, 36309.0000
0.0350, 0.0130, 0.0077, 0.0036, 38945.0000, 32905.0000, 29955.0000, 27663.0000
0.1610, 0.0970, 0.0519, 0.0143, 103996.0000, 62526.0000, 46187.0000, 34408.0000
0.0160, 0.0080, 0.0010, 0.0018, 32841.0000, 31205.0000, 34524.0000, 28588.0000
0.9610, 0.8320, 0.6837, 0.4830, 814728.0000, 619565.0000, 460580.0000, 327041.0000
0.0820, 0.0470, 0.0365, 0.0116, 49133.0000, 36835.0000, 33938.0000, 29502.0000
0.1220, 0.0620, 0.0221, 0.0187, 87613.0000, 44121.0000, 49402.0000, 32475.0000
0.3720, 0.1780, 0.1029, 0.0598, 75867.0000, 42062.0000, 45412.0000, 35788.0000
0.0280, 0.0200, 0.0087, 0.0107, 33369.0000, 28858.0000, 28148.0000, 23359.0000
0.4280, 0.2670, 0.1760, 0.0938, 170727.0000, 101527.0000, 72210.0000, 51031.0000
0.4710, 0.3560, 0.2144, 0.1375, 275374.0000, 166260.0000, 106887.0000, 72391.0000
0.0360, 0.0120, 0.0058, 0.0071, 49192.0000, 35962.0000, 40319.0000, 30689.0000
0.2520, 0.1590, 0.1067, 0.0643, 112342.0000, 68170.0000, 49608.0000, 35623.0000
0.1320, 0.0610, 0.0279, 0.0250, 87740.0000, 45631.0000, 43641.0000, 33571.0000
0.0030, 0.0030, 0.0019, 0.0027, 28224.0000, 25590.0000, 27241.0000, 24985.0000
0.0440, 0.0210, 0.0067, 0.0000, 54766.0000, 36589.0000, 35512.0000, 29278.0000
0.7240, 0.4470, 0.3144, 0.1812, 379365.0000, 258521.0000, 171077.0000, 113719.0000
0.0030, 0.0010, 0.0010, 0.0000, 25472.0000, 20529.0000, 21797.0000, 19757.0000
0.0740, 0.0400, 0.0260, 0.0080, 64936.0000, 34382.0000, 35485.0000, 26688.0000
0.1340, 0.0740, 0.0490, 0.0232, 145495.0000, 75891.0000, 56248.0000, 40105.0000
0.7000, 0.5150, 0.4192, 0.2893, 369352.0000, 253908.0000, 164578.0000, 104786.0000
0.7890, 0.5690, 0.3712, 0.2554, 383366.0000, 259275.0000, 161801.0000, 100790.0000
0.3110, 0.1660, 0.1529, 0.0982, 230707.0000, 143254.0000, 87684.0000, 53060.0000
0.0550, 0.0280, 0.0192, 0.0098, 80495.0000, 53287.0000, 41218.0000, 32841.0000
0.0060, 0.0010, 0.0000, 0.0000, 30667.0000, 26924.0000, 25675.0000, 22630.0000
0.0270, 0.0250, 0.0087, 0.0027, 33536.0000, 31784.0000, 33085.0000, 28913.0000
0.3090, 0.1950, 0.1317, 0.0527, 803329.0000, 480229.0000, 295106.0000, 156826.0000
0.7050, 0.3640, 0.2365, 0.1723, 236940.0000, 134692.0000, 92088.0000, 62392.0000
0.5660, 0.3650, 0.2231, 0.2339, 1170462.0000, 714491.0000, 454802.0000, 187354.0000
0.3270, 0.1910, 0.1115, 0.0768, 70793.0000, 55496.0000, 45563.0000, 35096.0000
0.0750, 0.0470, 0.0240, 0.0187, 76392.0000, 50132.0000, 37871.0000, 30482.0000
0.6340, 0.4990, 0.3712, 0.2321, 488018.0000, 339300.0000, 208454.0000, 143710.0000
0.0760, 0.0400, 0.0346, 0.0161, 44733.0000, 33476.0000, 27842.0000, 24864.0000
0.2250, 0.1030, 0.0558, 0.0375, 84047.0000, 55286.0000, 42319.0000, 30562.0000
0.0030, 0.0000, 0.0000, 0.0000, 37318.0000, 32277.0000, 28866.0000, 26724.0000
0.0180, 0.0090, 0.0019, 0.0018, 60079.0000, 41962.0000, 33544.0000, 26374.0000
0.0110, 0.0080, 0.0000, 0.0009, 24473.0000, 21793.0000, 22328.0000, 21031.0000
0.9530, 0.7550, 0.5981, 0.4696, 486410.0000, 552063.0000, 552777.0000, 350148.0000
0.0100, 0.0020, 0.0019, 0.0018, 33967.0000, 31003.0000, 29528.0000, 27003.0000
