R=50_result, R=100_result, R=150_result, R=50_time, R=100_time, R=150_time
0.0000, 0.0000, 0.0017, 24965.0000, 27757.0000, 542340.0000
0.0475, 0.1215, 0.1959, 891543.0000, 1287570.0000, 1669832.0000
0.0073, 0.0206, 0.0383, 91875.0000, 198631.0000, 242146.0000
0.0016, 0.0088, 0.0070, 37165.0000, 72879.0000, 272518.0000
0.1118, 0.2002, 0.2572, 1316171.0000, 2101180.0000, 3289525.0000
0.0056, 0.0089, 0.0098, 49700.0000, 64989.0000, 81817.0000
0.0156, 0.0333, 0.0502, 130394.0000, 232305.0000, 347039.0000
0.0002, 0.0020, 0.0234, 34577.0000, 76365.0000, 133500.0000
0.0000, 0.0000, 0.0008, 26499.0000, 34810.0000, 111886.0000
0.0000, 0.0000, 0.0076, 21982.0000, 21723.0000, 358714.0000
0.1414, 0.2401, 0.3194, 2162139.0000, 2796404.0000, 3515433.0000
0.0082, 0.0489, 0.0781, 54050.0000, 68514.0000, 75932.0000
0.0000, 0.0009, 0.0009, 31710.0000, 53346.0000, 69528.0000
0.0000, 0.0001, 0.0108, 22206.0000, 36373.0000, 99782.0000
0.0000, 0.0000, 0.0000, 20571.0000, 25728.0000, 35963.0000
0.0000, 0.0000, 0.0112, 22421.0000, 68219.0000, 166732.0000
0.0000, 0.0000, 0.0002, 17995.0000, 19314.0000, 27744.0000
0.0000, 0.0000, 0.0080, 22869.0000, 34062.0000, 38153.0000
0.0048, 0.0154, 0.0489, 54260.0000, 96034.0000, 110982.0000
0.1638, 0.2625, 0.3337, 1943328.0000, 2363948.0000, 3302498.0000
0.0005, 0.0247, 0.0748, 24808.0000, 93049.0000, 460062.0000
0.0084, 0.0376, 0.0721, 62795.0000, 116476.0000, 375850.0000
0.0000, 0.0000, 0.0041, 23754.0000, 23590.0000, 85997.0000
0.0000, 0.0000, 0.0001, 21882.0000, 21600.0000, 284634.0000
0.0001, 0.0071, 0.0229, 33163.0000, 43555.0000, 47672.0000
0.0000, 0.0000, 0.0058, 20125.0000, 19987.0000, 244878.0000
0.0000, 0.0166, 0.0775, 21644.0000, 446165.0000, 807753.0000
0.0001, 0.0048, 0.0156, 36705.0000, 77802.0000, 166150.0000
0.0263, 0.0692, 0.0833, 98453.0000, 94931.0000, 156831.0000
0.0000, 0.0000, 0.0044, 23423.0000, 20186.0000, 136280.0000
0.0855, 0.1455, 0.2085, 965816.0000, 1365943.0000, 2127192.0000
0.0014, 0.0122, 0.0278, 43160.0000, 44046.0000, 48654.0000
0.0309, 0.0519, 0.0666, 230657.0000, 346338.0000, 497580.0000
0.0066, 0.0774, 0.1789, 145137.0000, 842997.0000, 1761670.0000
0.0000, 0.0000, 0.0087, 23205.0000, 26394.0000, 38050.0000
0.0000, 0.0000, 0.0089, 23874.0000, 26599.0000, 39853.0000
0.0440, 0.0920, 0.1071, 187804.0000, 206930.0000, 347814.0000
0.0067, 0.0500, 0.1002, 50100.0000, 277012.0000, 2419864.0000
0.0012, 0.0058, 0.0172, 74371.0000, 408558.0000, 601719.0000
0.0000, 0.0000, 0.0156, 27298.0000, 39409.0000, 953803.0000
0.0007, 0.0010, 0.0099, 31958.0000, 46241.0000, 75633.0000
0.0649, 0.1348, 0.1917, 983097.0000, 1081034.0000, 1344744.0000
0.0000, 0.0324, 0.1016, 35226.0000, 678259.0000, 1167029.0000
0.0000, 0.0000, 0.0003, 21444.0000, 22482.0000, 70149.0000
0.0349, 0.0954, 0.1527, 222989.0000, 1852493.0000, 2561545.0000
0.0028, 0.0250, 0.0738, 31055.0000, 108550.0000, 450038.0000
0.0108, 0.0296, 0.0548, 565625.0000, 582416.0000, 835221.0000
0.0000, 0.0007, 0.0286, 25375.0000, 48717.0000, 208899.0000
0.0498, 0.1465, 0.1927, 470908.0000, 586352.0000, 1137475.0000
0.0000, 0.0229, 0.0894, 26511.0000, 824404.0000, 859111.0000
0.0000, 0.0000, 0.0020, 28019.0000, 28612.0000, 253723.0000
0.0000, 0.0013, 0.0227, 25896.0000, 101091.0000, 543518.0000
0.0005, 0.0017, 0.0019, 35689.0000, 48146.0000, 45571.0000
0.0365, 0.0871, 0.1442, 350193.0000, 3451921.0000, 2703119.0000
0.0405, 0.1375, 0.2045, 666953.0000, 666521.0000, 699441.0000
0.0028, 0.0143, 0.0201, 40841.0000, 49325.0000, 65625.0000
0.0090, 0.0181, 0.0328, 73057.0000, 97964.0000, 115348.0000
0.0034, 0.0055, 0.0254, 38207.0000, 54930.0000, 111166.0000
0.0019, 0.0034, 0.0030, 34488.0000, 43881.0000, 52071.0000
0.0665, 0.1176, 0.1472, 271049.0000, 346504.0000, 468852.0000
0.0046, 0.0256, 0.0595, 147866.0000, 288290.0000, 342405.0000
0.0017, 0.0184, 0.0568, 99396.0000, 243234.0000, 351935.0000
0.0498, 0.1388, 0.2324, 1397596.0000, 816999.0000, 852224.0000
0.0242, 0.0493, 0.0673, 140327.0000, 198450.0000, 219640.0000
0.0009, 0.0136, 0.0348, 24337.0000, 61158.0000, 116608.0000
0.0000, 0.0000, 0.0001, 23685.0000, 28598.0000, 32888.0000
0.0000, 0.0011, 0.0352, 24007.0000, 105431.0000, 1133694.0000
0.0000, 0.0000, 0.0002, 22651.0000, 23037.0000, 31021.0000
0.0078, 0.0154, 0.0159, 34280.0000, 38157.0000, 49150.0000
0.0330, 0.0866, 0.1075, 177814.0000, 270965.0000, 445304.0000
0.0000, 0.0000, 0.0015, 27611.0000, 38411.0000, 185519.0000
0.0102, 0.0243, 0.0315, 119763.0000, 131622.0000, 170298.0000
0.0016, 0.0106, 0.0246, 29304.0000, 32917.0000, 37604.0000
0.0000, 0.0000, 0.0019, 24652.0000, 26092.0000, 140343.0000
0.0718, 0.1682, 0.2496, 958742.0000, 1930570.0000, 2150424.0000
0.0000, 0.0000, 0.0000, 23990.0000, 24835.0000, 73129.0000
0.0000, 0.0005, 0.0033, 25271.0000, 34508.0000, 58102.0000
0.0201, 0.1212, 0.1700, 113501.0000, 497698.0000, 817299.0000
0.0132, 0.0427, 0.0975, 472410.0000, 589885.0000, 651519.0000
0.0000, 0.0028, 0.0437, 22123.0000, 200708.0000, 1243275.0000
0.0273, 0.0903, 0.1642, 136076.0000, 314481.0000, 579100.0000
0.1323, 0.1968, 0.2804, 2354667.0000, 2276933.0000, 3296986.0000
0.0461, 0.1226, 0.1604, 617457.0000, 2220626.0000, 1882902.0000
0.0035, 0.0165, 0.0524, 39735.0000, 120285.0000, 348838.0000
0.0000, 0.0045, 0.0257, 24158.0000, 67662.0000, 908576.0000
0.0453, 0.0956, 0.1354, 292712.0000, 318932.0000, 403059.0000
0.0000, 0.0004, 0.0025, 31291.0000, 45563.0000, 64926.0000
0.0143, 0.0434, 0.0621, 201076.0000, 278940.0000, 515078.0000
0.0000, 0.0000, 0.0050, 22648.0000, 28699.0000, 447451.0000
0.0243, 0.0669, 0.0857, 141969.0000, 197856.0000, 239282.0000
0.0000, 0.0004, 0.0026, 19983.0000, 39410.0000, 32726.0000
0.0350, 0.0607, 0.0889, 178097.0000, 337504.0000, 558663.0000
0.0000, 0.0128, 0.0570, 25965.0000, 64852.0000, 454497.0000
0.0000, 0.0024, 0.0229, 24501.0000, 68794.0000, 461737.0000
0.0164, 0.0506, 0.0824, 70083.0000, 92095.0000, 145635.0000
0.0003, 0.0061, 0.0259, 35843.0000, 60327.0000, 118747.0000
0.0101, 0.0514, 0.0826, 48642.0000, 68827.0000, 327333.0000
0.0071, 0.0102, 0.0092, 69585.0000, 92413.0000, 112423.0000
0.0000, 0.0063, 0.0597, 21288.0000, 247641.0000, 726086.0000
0.0844, 0.1812, 0.2498, 944668.0000, 1366344.0000, 2109943.0000
