cubeSize=100_result, cubeSize=200_result, cubeSize=100_time, cubeSize=200_time
0.0019, 0.0173, 23186.0000, 224474.0000
0.0183, 0.0404, 39988.0000, 189337.0000
0.0000, 0.0000, 25819.0000, 26793.0000
0.0000, 0.0019, 19875.0000, 22979.0000
0.0096, 0.0221, 33952.0000, 121306.0000
0.0000, 0.0029, 29795.0000, 44672.0000
0.0000, 0.0394, 28092.0000, 102600.0000
0.0000, 0.0058, 26178.0000, 29333.0000
0.0000, 0.0154, 28062.0000, 46239.0000
0.0000, 0.0000, 29126.0000, 31808.0000
0.0000, 0.0029, 29406.0000, 30914.0000
0.0000, 0.0048, 22029.0000, 32153.0000
0.0173, 0.0058, 32682.0000, 72591.0000
0.0587, 0.0760, 38280.0000, 896154.0000
0.0067, 0.0548, 43159.0000, 246072.0000
0.2846, 0.1692, 212277.0000, 590430.0000
0.0000, 0.0000, 28914.0000, 31564.0000
0.0635, 0.0817, 83574.0000, 428218.0000
0.0000, 0.0000, 21408.0000, 23110.0000
0.0038, 0.0519, 38635.0000, 114845.0000
0.0442, 0.0702, 45502.0000, 173100.0000
0.2952, 0.2212, 215245.0000, 949391.0000
0.1933, 0.1413, 58081.0000, 314811.0000
0.0587, 0.0654, 42989.0000, 117494.0000
0.0000, 0.0058, 19423.0000, 132457.0000
0.0856, 0.0394, 33530.0000, 49666.0000
0.0000, 0.0058, 28213.0000, 31319.0000
0.4683, 0.4635, 367236.0000, 1308238.0000
0.0606, 0.0663, 40716.0000, 449876.0000
0.3731, 0.2615, 391232.0000, 1336779.0000
0.0019, 0.0192, 30542.0000, 47635.0000
0.1019, 0.1202, 83413.0000, 355163.0000
0.0269, 0.0183, 22887.0000, 40830.0000
0.2500, 0.2654, 350184.0000, 1353581.0000
0.0000, 0.0029, 26006.0000, 68654.0000
0.0462, 0.0712, 37507.0000, 180140.0000
0.0010, 0.0029, 27781.0000, 39012.0000
0.0019, 0.0010, 26378.0000, 27389.0000
0.0260, 0.0433, 33100.0000, 51625.0000
0.0000, 0.0000, 26215.0000, 29847.0000
0.2096, 0.1173, 102035.0000, 266796.0000
0.0077, 0.0288, 34069.0000, 69508.0000
0.0000, 0.0000, 21565.0000, 29712.0000
0.0010, 0.0192, 31548.0000, 117798.0000
0.4067, 0.3163, 255879.0000, 925637.0000
0.0000, 0.0115, 26185.0000, 46834.0000
0.0798, 0.1663, 60641.0000, 348968.0000
0.0375, 0.0135, 32798.0000, 65820.0000
0.0000, 0.0010, 25844.0000, 38228.0000
0.1346, 0.1577, 81801.0000, 531583.0000
0.1385, 0.1019, 64768.0000, 146068.0000
0.0144, 0.0365, 23844.0000, 303482.0000
0.0000, 0.0000, 30605.0000, 35149.0000
0.1202, 0.1962, 96020.0000, 464447.0000
0.0827, 0.0606, 41801.0000, 97812.0000
0.0000, 0.0144, 22100.0000, 52819.0000
0.0673, 0.0356, 62644.0000, 121498.0000
0.0538, 0.1058, 62230.0000, 369549.0000
0.0500, 0.0606, 52209.0000, 120854.0000
0.2971, 0.2817, 201177.0000, 1596476.0000
0.2808, 0.2308, 92628.0000, 277497.0000
0.0212, 0.0740, 26600.0000, 382864.0000
0.0000, 0.0048, 31200.0000, 35996.0000
0.0000, 0.0000, 25865.0000, 26796.0000
0.0067, 0.0231, 28886.0000, 52783.0000
0.0990, 0.0500, 41549.0000, 110499.0000
0.2298, 0.1885, 318681.0000, 663849.0000
0.0933, 0.0375, 35920.0000, 77615.0000
0.0298, 0.0394, 42207.0000, 89109.0000
0.0087, 0.0096, 34867.0000, 50603.0000
0.0462, 0.0317, 36844.0000, 61664.0000
0.2250, 0.2096, 296138.0000, 1010460.0000
0.1250, 0.1298, 256531.0000, 544669.0000
0.6163, 0.5163, 225759.0000, 1261723.0000
0.0971, 0.2356, 104930.0000, 442332.0000
0.1433, 0.1125, 189187.0000, 449905.0000
0.0000, 0.0202, 21072.0000, 55490.0000
0.2423, 0.1481, 125097.0000, 906476.0000
0.0000, 0.0000, 18690.0000, 25946.0000
0.0000, 0.0038, 22852.0000, 31017.0000
0.0019, 0.0346, 47896.0000, 186341.0000
0.1010, 0.1962, 83617.0000, 694428.0000
0.0769, 0.0808, 61711.0000, 164152.0000
0.0000, 0.0000, 19379.0000, 22771.0000
0.0000, 0.0029, 22126.0000, 24941.0000
0.0231, 0.0231, 36384.0000, 65735.0000
0.0000, 0.0048, 27150.0000, 136890.0000
0.0413, 0.0846, 48740.0000, 105607.0000
0.0000, 0.0019, 21080.0000, 84699.0000
0.0000, 0.0038, 22724.0000, 25127.0000
0.1875, 0.1654, 87473.0000, 474781.0000
0.0000, 0.0144, 26200.0000, 137807.0000
0.0712, 0.0423, 41430.0000, 96129.0000
0.0077, 0.0087, 23512.0000, 57337.0000
0.0856, 0.1413, 90071.0000, 407186.0000
0.0000, 0.0067, 31234.0000, 38318.0000
0.1298, 0.0779, 57513.0000, 165843.0000
0.0067, 0.0346, 28779.0000, 90616.0000
0.2702, 0.1817, 160430.0000, 519292.0000
0.0000, 0.0029, 26638.0000, 28298.0000
