alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.0470, 0.0125, 0.0012, 15700.0000, 2535.0000, 14704.0000
0.2290, 0.0394, 0.0064, 53029.0000, 6914.0000, 42033.0000
0.7500, 0.2587, 0.0614, 275680.0000, 50900.0000, 377041.0000
0.3680, 0.0538, 0.0129, 43231.0000, 6722.0000, 37916.0000
0.1400, 0.0269, 0.0024, 86556.0000, 11309.0000, 62593.0000
0.1500, 0.0221, 0.0044, 49475.0000, 7725.0000, 34246.0000
0.0190, 0.0067, 0.0018, 15637.0000, 3349.0000, 8858.0000
0.1460, 0.0221, 0.0021, 51099.0000, 8696.0000, 30194.0000
0.1110, 0.0144, 0.0026, 66256.0000, 10803.0000, 38393.0000
0.3630, 0.0490, 0.0112, 35847.0000, 7005.0000, 27429.0000
0.1960, 0.0327, 0.0058, 26372.0000, 5217.0000, 16451.0000
0.1140, 0.0288, 0.0041, 21041.0000, 4843.0000, 15751.0000
0.0870, 0.0115, 0.0012, 54761.0000, 9574.0000, 30797.0000
0.1610, 0.0308, 0.0056, 28263.0000, 5510.0000, 20492.0000
0.4130, 0.0798, 0.0195, 286649.0000, 46646.0000, 236991.0000
0.0860, 0.0192, 0.0024, 32258.0000, 6031.0000, 25778.0000
0.1290, 0.0260, 0.0025, 72381.0000, 11630.0000, 50714.0000
0.3120, 0.0596, 0.0106, 82105.0000, 12715.0000, 66869.0000
0.0970, 0.0183, 0.0038, 17425.0000, 3467.0000, 12872.0000
0.2230, 0.0260, 0.0087, 44442.0000, 8829.0000, 43042.0000
0.4570, 0.1048, 0.0191, 80927.0000, 18647.0000, 96319.0000
0.1090, 0.0269, 0.0019, 44017.0000, 9763.0000, 45582.0000
0.4700, 0.0769, 0.0146, 87533.0000, 20286.0000, 114834.0000
0.1730, 0.0192, 0.0046, 62832.0000, 13359.0000, 60191.0000
0.4190, 0.0740, 0.0148, 54425.0000, 11385.0000, 64679.0000
0.1370, 0.0192, 0.0036, 42595.0000, 11147.0000, 41930.0000
0.1890, 0.0279, 0.0099, 49182.0000, 10403.0000, 47538.0000
0.2080, 0.0240, 0.0068, 88479.0000, 17474.0000, 80675.0000
0.1590, 0.0231, 0.0036, 85598.0000, 17021.0000, 82283.0000
0.3600, 0.0971, 0.0182, 165277.0000, 36779.0000, 164673.0000
0.3370, 0.0577, 0.0107, 44460.0000, 9419.0000, 40588.0000
0.1730, 0.0308, 0.0078, 51271.0000, 11248.0000, 46495.0000
0.2950, 0.0923, 0.0120, 58851.0000, 11264.0000, 42733.0000
0.0620, 0.0087, 0.0038, 42723.0000, 8794.0000, 31032.0000
