angles=2_result, angles=4_result, angles=8_result, angles=16_result, angles=2_time, angles=4_time, angles=8_time, angles=16_time
0.0300, 0.0200, 0.0077, 0.0098, 1929.0000, 1128.0000, 1033.0000, 924.0000
0.0750, 0.0390, 0.0202, 0.0071, 3376.0000, 2133.0000, 2009.0000, 1298.0000
0.3880, 0.2750, 0.1885, 0.1330, 13244.0000, 7713.0000, 5211.0000, 3637.0000
0.0760, 0.0400, 0.0154, 0.0161, 3318.0000, 2120.0000, 1740.0000, 1226.0000
0.0080, 0.0000, 0.0000, 0.0000, 4895.0000, 2873.0000, 2521.0000, 4106.0000
0.1220, 0.0820, 0.0433, 0.0152, 5918.0000, 3416.0000, 8456.0000, 2190.0000
0.0300, 0.0100, 0.0058, 0.0036, 1403.0000, 1132.0000, 1197.0000, 1411.0000
0.1760, 0.0750, 0.0394, 0.0161, 5114.0000, 3020.0000, 3173.0000, 2312.0000
0.1060, 0.0510, 0.0269, 0.0205, 4606.0000, 2707.0000, 2631.0000, 3219.0000
0.1400, 0.0720, 0.0375, 0.0116, 8954.0000, 5029.0000, 4888.0000, 4593.0000
0.0000, 0.0000, 0.0000, 0.0000, 1372.0000, 1338.0000, 1440.0000, 1537.0000
0.0520, 0.0320, 0.0135, 0.0143, 2279.0000, 1548.0000, 1584.0000, 1685.0000
0.0570, 0.0270, 0.0163, 0.0116, 1682.0000, 1162.0000, 1301.0000, 3510.0000
0.0890, 0.0340, 0.0356, 0.0125, 4700.0000, 2912.0000, 2329.0000, 2847.0000
0.1430, 0.0830, 0.0385, 0.0152, 4021.0000, 2018.0000, 3016.0000, 5559.0000
0.0280, 0.0140, 0.0106, 0.0036, 3455.0000, 4398.0000, 2730.0000, 2033.0000
0.1820, 0.0880, 0.0702, 0.0330, 3121.0000, 1968.0000, 1906.0000, 2013.0000
0.1290, 0.0610, 0.0452, 0.0250, 3088.0000, 2057.0000, 1928.0000, 1942.0000
0.0740, 0.0450, 0.0154, 0.0152, 4398.0000, 2749.0000, 2739.0000, 2425.0000
0.0060, 0.0050, 0.0010, 0.0036, 1191.0000, 918.0000, 1492.0000, 1577.0000
0.0510, 0.0320, 0.0144, 0.0045, 5922.0000, 3544.0000, 3637.0000, 3196.0000
0.1080, 0.0530, 0.0163, 0.0098, 3168.0000, 2005.0000, 1901.0000, 1589.0000
0.1270, 0.0600, 0.0356, 0.0205, 4365.0000, 2635.0000, 2397.0000, 2296.0000
0.0650, 0.0190, 0.0144, 0.0098, 1715.0000, 1323.0000, 1560.0000, 1637.0000
0.0910, 0.0460, 0.0317, 0.0134, 3840.0000, 2427.0000, 2962.0000, 1997.0000
0.3010, 0.1730, 0.0913, 0.0357, 6870.0000, 4231.0000, 3047.0000, 2327.0000
0.0520, 0.0180, 0.0144, 0.0045, 3220.0000, 2095.0000, 2142.0000, 2226.0000
