angles=2_result, angles=4_result, angles=8_result, angles=16_result, angles=2_time, angles=4_time, angles=8_time, angles=16_time
0.0020, 0.0010, 0.0010, 0.0000, 28189.0000, 26314.0000, 26417.0000, 41488.0000
0.0230, 0.0170, 0.0048, 0.0036, 29836.0000, 29774.0000, 27213.0000, 38794.0000
0.1860, 0.0750, 0.0471, 0.0232, 36487.0000, 32728.0000, 29794.0000, 43628.0000
0.1990, 0.0910, 0.0587, 0.0321, 35894.0000, 30719.0000, 26003.0000, 34187.0000
0.1720, 0.0800, 0.0644, 0.0464, 39399.0000, 31731.0000, 27357.0000, 36099.0000
0.1700, 0.0900, 0.0577, 0.0384, 57802.0000, 48009.0000, 35378.0000, 47569.0000
0.7210, 0.5110, 0.3279, 0.2491, 92095.0000, 70848.0000, 45140.0000, 58512.0000
0.7630, 0.4980, 0.3712, 0.2795, 94198.0000, 69654.0000, 47186.0000, 67121.0000
0.0760, 0.0480, 0.0212, 0.0054, 24875.0000, 24028.0000, 21233.0000, 26124.0000
0.0120, 0.0110, 0.0029, 0.0036, 32144.0000, 31848.0000, 28235.0000, 36031.0000
0.0350, 0.0160, 0.0077, 0.0054, 35232.0000, 33346.0000, 31512.0000, 39664.0000
0.0290, 0.0120, 0.0077, 0.0045, 48156.0000, 40013.0000, 32807.0000, 38444.0000
0.2050, 0.1580, 0.0750, 0.0321, 116525.0000, 77648.0000, 46204.0000, 43742.0000
0.2500, 0.1440, 0.0875, 0.0437, 49507.0000, 40594.0000, 29429.0000, 33442.0000
0.4290, 0.2220, 0.1490, 0.0938, 51156.0000, 41870.0000, 35015.0000, 40447.0000
0.4970, 0.3730, 0.2260, 0.1357, 207867.0000, 113404.0000, 70173.0000, 64340.0000
0.0030, 0.0000, 0.0010, 0.0018, 46993.0000, 26816.0000, 24484.0000, 24568.0000
0.2610, 0.1360, 0.0798, 0.0804, 53160.0000, 36090.0000, 31026.0000, 30603.0000
