cells=4_result, cells=8_result, cells=16_result, cells=4_time, cells=8_time, cells=16_time
0.0013, 0.0012, 0.0012, 3389.0000, 9985.0000, 51841.0000
0.0216, 0.0188, 0.0195, 13458.0000, 64707.0000, 416171.0000
0.0009, 0.0009, 0.0003, 8718.0000, 36072.0000, 240035.0000
0.0000, 0.0000, 0.0000, 3380.0000, 10606.0000, 58724.0000
0.0104, 0.0086, 0.0080, 12955.0000, 59097.0000, 366492.0000
0.0001, 0.0001, 0.0002, 3997.0000, 15244.0000, 83164.0000
0.0107, 0.0092, 0.0092, 13025.0000, 56632.0000, 337728.0000
0.0041, 0.0043, 0.0043, 9953.0000, 39309.0000, 261403.0000
0.0000, 0.0000, 0.0002, 10747.0000, 39850.0000, 274193.0000
0.0074, 0.0069, 0.0069, 10204.0000, 35221.0000, 268463.0000
0.0006, 0.0017, 0.0016, 11102.0000, 39709.0000, 308485.0000
0.0122, 0.0096, 0.0092, 12593.0000, 44545.0000, 354237.0000
0.0184, 0.0150, 0.0137, 40797.0000, 168779.0000, 1311815.0000
0.0000, 0.0002, 0.0004, 6016.0000, 20544.0000, 149453.0000
0.0000, 0.0007, 0.0008, 4099.0000, 12593.0000, 96021.0000
0.0148, 0.0087, 0.0075, 15299.0000, 57180.0000, 466081.0000
0.0435, 0.0466, 0.0457, 46234.0000, 181324.0000, 1462917.0000
0.0091, 0.0106, 0.0105, 13046.0000, 47757.0000, 374172.0000
0.0130, 0.0146, 0.0150, 12102.0000, 44107.0000, 349480.0000
0.0112, 0.0095, 0.0098, 8054.0000, 26738.0000, 194886.0000
0.0065, 0.0056, 0.0056, 6160.0000, 20623.0000, 146280.0000
0.0075, 0.0072, 0.0064, 7942.0000, 26439.0000, 201684.0000
0.0089, 0.0106, 0.0103, 9792.0000, 34226.0000, 268943.0000
0.0057, 0.0018, 0.0015, 10488.0000, 34942.0000, 262518.0000
0.0064, 0.0076, 0.0068, 5151.0000, 16753.0000, 122490.0000
0.0157, 0.0110, 0.0101, 18915.0000, 68952.0000, 545485.0000
0.0097, 0.0099, 0.0096, 7221.0000, 25721.0000, 194743.0000
0.0085, 0.0072, 0.0067, 4276.0000, 13821.0000, 97432.0000
0.0000, 0.0001, 0.0001, 3286.0000, 8633.0000, 57015.0000
0.0130, 0.0121, 0.0120, 10269.0000, 39474.0000, 289073.0000
0.0151, 0.0177, 0.0173, 16594.0000, 61571.0000, 488806.0000
0.0181, 0.0161, 0.0156, 15653.0000, 58208.0000, 455384.0000
0.0250, 0.0217, 0.0223, 24241.0000, 94069.0000, 731197.0000
0.0005, 0.0011, 0.0014, 9029.0000, 30513.0000, 231703.0000
0.0010, 0.0013, 0.0014, 6522.0000, 20787.0000, 154883.0000
