cells=4_result, cells=8_result, cells=16_result, cells=4_time, cells=8_time, cells=16_time
0.0000, 0.0000, 0.0000, 25260.0000, 25037.0000, 31211.0000
0.0001, 0.0007, 0.0007, 29263.0000, 32649.0000, 48395.0000
0.0002, 0.0003, 0.0003, 27075.0000, 29008.0000, 47705.0000
0.0399, 0.0412, 0.0406, 41614.0000, 92083.0000, 472567.0000
0.0025, 0.0030, 0.0033, 28564.0000, 32793.0000, 47701.0000
0.0004, 0.0006, 0.0004, 33421.0000, 31832.0000, 46516.0000
0.1269, 0.1129, 0.1111, 199642.0000, 1038650.0000, 6858508.0000
0.0000, 0.0001, 0.0000, 28928.0000, 31384.0000, 31832.0000
0.0172, 0.0220, 0.0217, 33931.0000, 57392.0000, 255106.0000
0.0111, 0.0104, 0.0108, 25862.0000, 33198.0000, 90182.0000
0.1421, 0.1303, 0.1285, 250324.0000, 1281739.0000, 8302110.0000
0.0048, 0.0040, 0.0044, 24658.0000, 30793.0000, 29649.0000
0.1255, 0.1000, 0.0981, 68358.0000, 256959.0000, 1668617.0000
0.0308, 0.0250, 0.0250, 41517.0000, 108951.0000, 633841.0000
0.1290, 0.1125, 0.1110, 90345.0000, 364414.0000, 2426043.0000
0.0037, 0.0046, 0.0042, 34864.0000, 33093.0000, 54080.0000
0.0817, 0.0831, 0.0819, 60998.0000, 187698.0000, 1174321.0000
0.0000, 0.0002, 0.0002, 33933.0000, 76658.0000, 400142.0000
0.0019, 0.0019, 0.0019, 24477.0000, 28020.0000, 45847.0000
0.0002, 0.0000, 0.0000, 27341.0000, 27786.0000, 27907.0000
0.0114, 0.0109, 0.0121, 36691.0000, 52527.0000, 188655.0000
0.0469, 0.0360, 0.0349, 46919.0000, 101480.0000, 543896.0000
0.0127, 0.0153, 0.0159, 82054.0000, 257217.0000, 1791247.0000
0.0956, 0.0867, 0.0871, 115927.0000, 519442.0000, 4450193.0000
0.1460, 0.1343, 0.1325, 120779.0000, 573692.0000, 4307027.0000
0.0093, 0.0038, 0.0041, 25833.0000, 32019.0000, 58154.0000
0.1006, 0.0971, 0.0971, 119366.0000, 588230.0000, 3997779.0000
0.0091, 0.0072, 0.0079, 31801.0000, 39973.0000, 117675.0000
0.1414, 0.1240, 0.1215, 76200.0000, 399875.0000, 2723667.0000
0.0314, 0.0237, 0.0233, 41698.0000, 116985.0000, 681224.0000
0.0292, 0.0296, 0.0305, 35918.0000, 62322.0000, 256047.0000
0.0454, 0.0375, 0.0371, 60275.0000, 163164.0000, 929471.0000
0.0479, 0.0465, 0.0470, 110368.0000, 460499.0000, 2937556.0000
0.0140, 0.0071, 0.0077, 23331.0000, 32620.0000, 82112.0000
0.0007, 0.0009, 0.0008, 23939.0000, 26244.0000, 34695.0000
0.0000, 0.0003, 0.0002, 20337.0000, 23162.0000, 42659.0000
0.0704, 0.0549, 0.0535, 174148.0000, 802909.0000, 5727762.0000
0.0006, 0.0015, 0.0014, 21761.0000, 27934.0000, 58972.0000
0.0081, 0.0094, 0.0093, 30030.0000, 41480.0000, 123693.0000
0.0564, 0.0590, 0.0573, 68956.0000, 297444.0000, 1985411.0000
0.0007, 0.0013, 0.0018, 23577.0000, 29528.0000, 55649.0000
0.0679, 0.0641, 0.0612, 43652.0000, 100249.0000, 546531.0000
0.0001, 0.0000, 0.0000, 31081.0000, 34019.0000, 41022.0000
0.0110, 0.0097, 0.0102, 26814.0000, 33615.0000, 81949.0000
0.0008, 0.0014, 0.0011, 32490.0000, 33292.0000, 36547.0000
0.0306, 0.0296, 0.0283, 41482.0000, 123824.0000, 562254.0000
0.0085, 0.0080, 0.0079, 29505.0000, 39318.0000, 94818.0000
0.0000, 0.0002, 0.0002, 19584.0000, 22236.0000, 39162.0000
0.0071, 0.0089, 0.0089, 25154.0000, 32647.0000, 83940.0000
0.0145, 0.0144, 0.0144, 38985.0000, 64488.0000, 251628.0000
0.0269, 0.0202, 0.0200, 37839.0000, 70082.0000, 343066.0000
0.1746, 0.1550, 0.1537, 138848.0000, 665790.0000, 4598492.0000
