alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.0910, 0.0048, 0.0013, 7060.0000, 1730.0000, 8559.0000
0.6320, 0.3615, 0.1188, 59404.0000, 11600.0000, 131184.0000
0.1380, 0.0163, 0.0063, 8711.0000, 1963.0000, 14746.0000
0.5570, 0.1808, 0.0240, 33137.0000, 5926.0000, 45401.0000
0.0560, 0.0096, 0.0012, 4869.0000, 1328.0000, 6755.0000
0.0670, 0.0087, 0.0007, 7113.0000, 1623.0000, 7716.0000
0.6910, 0.2212, 0.0392, 8864.0000, 2716.0000, 20898.0000
0.7130, 0.2192, 0.0349, 12790.0000, 2816.0000, 22782.0000
0.6510, 0.1558, 0.0306, 8916.0000, 2679.0000, 18621.0000
0.1580, 0.0240, 0.0014, 9204.0000, 1941.0000, 9896.0000
0.1600, 0.0288, 0.0030, 3479.0000, 1172.0000, 5166.0000
0.0950, 0.0202, 0.0061, 7302.0000, 1718.0000, 10398.0000
0.2790, 0.0394, 0.0049, 16994.0000, 3006.0000, 21076.0000
0.2580, 0.0452, 0.0158, 13158.0000, 3040.0000, 24670.0000
0.8240, 0.2923, 0.0549, 8764.0000, 3899.0000, 25147.0000
0.5700, 0.2337, 0.0441, 5072.0000, 1642.0000, 12173.0000
0.1120, 0.0154, 0.0014, 14837.0000, 2672.0000, 24866.0000
0.6810, 0.1135, 0.0241, 4502.0000, 1549.0000, 12698.0000
0.8670, 0.1673, 0.0380, 5802.0000, 2116.0000, 20284.0000
0.7040, 0.2635, 0.0481, 10603.0000, 2268.0000, 15015.0000
0.3060, 0.0760, 0.0124, 6897.0000, 1505.0000, 7845.0000
0.1090, 0.0087, 0.0039, 11191.0000, 2438.0000, 19014.0000
0.0050, 0.0010, 0.0007, 2612.0000, 952.0000, 3156.0000
0.8270, 0.1865, 0.0436, 8962.0000, 2677.0000, 20220.0000
0.5420, 0.1962, 0.0371, 11134.0000, 2418.0000, 15645.0000
0.3590, 0.0837, 0.0212, 5262.0000, 1588.0000, 9782.0000
0.7610, 0.1923, 0.0367, 4780.0000, 1892.0000, 16032.0000
0.1410, 0.0308, 0.0043, 5181.0000, 1587.0000, 7161.0000
0.2390, 0.0337, 0.0113, 11829.0000, 2668.0000, 19092.0000
0.7300, 0.3308, 0.0608, 12267.0000, 2960.0000, 20362.0000
0.2040, 0.0240, 0.0019, 17119.0000, 2845.0000, 19334.0000
0.5690, 0.1173, 0.0277, 10092.0000, 2417.0000, 19106.0000
0.6960, 0.1154, 0.0226, 10601.0000, 2387.0000, 16681.0000
0.6340, 0.2087, 0.0459, 18047.0000, 3826.0000, 34467.0000
0.5190, 0.0673, 0.0117, 18899.0000, 3288.0000, 23248.0000
0.4020, 0.1115, 0.0164, 6036.0000, 1616.0000, 8026.0000
0.0140, 0.0038, 0.0001, 2442.0000, 983.0000, 3336.0000
0.6440, 0.1817, 0.0398, 6824.0000, 2137.0000, 14683.0000
0.4970, 0.1240, 0.0358, 15464.0000, 3345.0000, 31824.0000
0.2810, 0.0740, 0.0197, 6837.0000, 1943.0000, 12690.0000
0.7550, 0.1538, 0.0261, 10282.0000, 2275.0000, 18664.0000
0.7820, 0.2365, 0.0496, 18727.0000, 3955.0000, 33951.0000
0.3850, 0.1163, 0.0131, 18454.0000, 3387.0000, 22348.0000
0.1310, 0.0125, 0.0010, 11615.0000, 2243.0000, 13971.0000
0.1230, 0.0471, 0.0042, 6956.0000, 1533.0000, 8674.0000
0.3700, 0.0673, 0.0114, 9928.0000, 2168.0000, 15370.0000
0.0770, 0.0125, 0.0005, 7744.0000, 1626.0000, 8381.0000
0.7620, 0.1885, 0.0339, 10081.0000, 2534.0000, 20461.0000
0.6020, 0.0913, 0.0194, 12791.0000, 2965.0000, 20099.0000
0.7470, 0.2038, 0.0480, 10884.0000, 3268.0000, 24675.0000
0.3850, 0.0885, 0.0168, 5662.0000, 2518.0000, 7057.0000
0.9780, 0.7077, 0.1796, 27735.0000, 9895.0000, 128229.0000
0.7880, 0.2163, 0.0468, 13827.0000, 3091.0000, 25389.0000
0.6220, 0.2163, 0.0339, 14673.0000, 3182.0000, 23884.0000
0.1010, 0.0394, 0.0026, 3819.0000, 1357.0000, 4694.0000
0.4670, 0.1433, 0.0308, 7038.0000, 2067.0000, 15800.0000
0.7990, 0.2981, 0.0513, 13583.0000, 3374.0000, 26294.0000
0.0330, 0.0010, 0.0013, 7550.0000, 1689.0000, 11958.0000
0.8120, 0.1394, 0.0263, 5571.0000, 1719.0000, 12604.0000
0.9640, 0.4962, 0.0903, 44697.0000, 10366.0000, 97978.0000
