alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.0530, 0.0106, 0.0006, 305026.0000, 60926.0000, 214085.0000
0.0390, 0.0048, 0.0004, 116147.0000, 37882.0000, 83976.0000
0.9560, 0.3750, 0.1186, 1116288.0000, 262279.0000, 1321737.0000
0.9980, 0.6913, 0.1940, 457074.0000, 156911.0000, 853718.0000
0.9910, 0.4462, 0.0871, 95520.0000, 79373.0000, 354182.0000
0.1430, 0.0163, 0.0115, 50536.0000, 27437.0000, 40705.0000
0.0000, 0.0000, 0.0001, 37039.0000, 31945.0000, 34865.0000
0.9010, 0.2567, 0.0795, 312243.0000, 97511.0000, 375005.0000
0.2530, 0.0577, 0.0079, 33423.0000, 26724.0000, 30502.0000
1.0000, 0.7519, 0.2318, 471337.0000, 329845.0000, 2336875.0000
0.4180, 0.0865, 0.0299, 459039.0000, 114000.0000, 429043.0000
0.2900, 0.0606, 0.0228, 154224.0000, 46427.0000, 126272.0000
0.5980, 0.1125, 0.0421, 295412.0000, 66998.0000, 231706.0000
1.0000, 0.8144, 0.2387, 397666.0000, 122851.0000, 881137.0000
1.0000, 0.4510, 0.1312, 1412636.0000, 266950.0000, 1304605.0000
0.7130, 0.2817, 0.0682, 519732.0000, 114413.0000, 416423.0000
1.0000, 0.4000, 0.1222, 88920.0000, 84258.0000, 294080.0000
0.2820, 0.0481, 0.0070, 62497.0000, 30808.0000, 50512.0000
0.0360, 0.0096, 0.0025, 59632.0000, 28185.0000, 45290.0000
0.0190, 0.0029, 0.0013, 50972.0000, 30897.0000, 42987.0000
0.3740, 0.0817, 0.0188, 93338.0000, 32410.0000, 59058.0000
0.7700, 0.3183, 0.1035, 854137.0000, 188178.0000, 840353.0000
0.4850, 0.1250, 0.0513, 598362.0000, 121059.0000, 465987.0000
0.9510, 0.3519, 0.0947, 114290.0000, 90057.0000, 327154.0000
0.9320, 0.3183, 0.0976, 197719.0000, 72339.0000, 259382.0000
0.0250, 0.0058, 0.0006, 73677.0000, 33815.0000, 59730.0000
1.0000, 0.8712, 0.1310, 217637.0000, 174849.0000, 1283222.0000
0.5120, 0.1346, 0.0442, 217555.0000, 62579.0000, 182413.0000
0.1930, 0.0337, 0.0023, 94179.0000, 31687.0000, 64959.0000
0.0260, 0.0029, 0.0008, 32068.0000, 26837.0000, 29114.0000
0.0030, 0.0010, 0.0001, 40383.0000, 28287.0000, 34260.0000
0.0220, 0.0067, 0.0028, 78983.0000, 36494.0000, 63583.0000
0.1820, 0.0385, 0.0110, 125656.0000, 39034.0000, 95257.0000
0.4330, 0.0808, 0.0216, 31103.0000, 26690.0000, 29891.0000
0.6360, 0.3288, 0.0421, 890084.0000, 165575.0000, 739504.0000
0.3520, 0.1183, 0.0155, 483170.0000, 92006.0000, 321313.0000
0.8570, 0.4596, 0.0598, 1827470.0000, 426364.0000, 1844228.0000
0.9120, 0.2279, 0.0587, 289456.0000, 69752.0000, 227598.0000
0.6130, 0.1846, 0.0558, 294271.0000, 77927.0000, 279188.0000
0.3010, 0.0606, 0.0164, 62895.0000, 33187.0000, 51116.0000
0.8580, 0.5212, 0.0798, 251934.0000, 96829.0000, 397667.0000
0.0490, 0.0077, 0.0012, 66256.0000, 35311.0000, 51263.0000
0.1420, 0.0221, 0.0058, 38634.0000, 28167.0000, 34596.0000
0.5170, 0.1538, 0.0276, 617543.0000, 116425.0000, 406700.0000
1.0000, 0.8731, 0.2116, 294007.0000, 136728.0000, 1874962.0000
0.5550, 0.1596, 0.0292, 265382.0000, 62440.0000, 182343.0000
0.0500, 0.0115, 0.0052, 30664.0000, 25855.0000, 28989.0000
0.1460, 0.0490, 0.0043, 89565.0000, 33496.0000, 65866.0000
0.2000, 0.0221, 0.0102, 51922.0000, 32521.0000, 46798.0000
0.5500, 0.1962, 0.0484, 1569807.0000, 300215.0000, 1360276.0000
0.0220, 0.0019, 0.0011, 80172.0000, 33925.0000, 61287.0000
0.0070, 0.0010, 0.0001, 65144.0000, 35054.0000, 55262.0000
0.7840, 0.2462, 0.0661, 614589.0000, 112755.0000, 433374.0000
0.3510, 0.0654, 0.0201, 280631.0000, 64445.0000, 195307.0000
0.0140, 0.0010, 0.0002, 58391.0000, 31309.0000, 44330.0000
0.0340, 0.0125, 0.0003, 54565.0000, 28754.0000, 40999.0000
0.9910, 0.4538, 0.1327, 971390.0000, 332762.0000, 1469067.0000
1.0000, 0.7221, 0.2428, 921994.0000, 272569.0000, 2072145.0000
0.9330, 0.2808, 0.0797, 192802.0000, 54293.0000, 212277.0000
0.0000, 0.0000, 0.0000, 27587.0000, 27157.0000, 27391.0000
0.9130, 0.3731, 0.0924, 329617.0000, 75958.0000, 282600.0000
0.9490, 0.4625, 0.1292, 968065.0000, 312679.0000, 1304438.0000
0.2700, 0.0558, 0.0168, 142823.0000, 45029.0000, 115539.0000
0.2900, 0.0962, 0.0153, 70479.0000, 30380.0000, 55031.0000
0.9670, 0.4231, 0.0829, 460151.0000, 125826.0000, 634905.0000
0.9730, 0.3423, 0.1242, 201584.0000, 214262.0000, 1128629.0000
0.3580, 0.0885, 0.0203, 334458.0000, 75742.0000, 248214.0000
1.0000, 0.7731, 0.1423, 108078.0000, 249479.0000, 2194179.0000
0.1830, 0.0327, 0.0123, 105300.0000, 39209.0000, 81657.0000
0.0040, 0.0010, 0.0003, 39435.0000, 24283.0000, 31349.0000
0.7770, 0.2894, 0.0467, 219572.0000, 72780.0000, 244076.0000
1.0000, 0.8087, 0.1669, 208456.0000, 149854.0000, 837320.0000
0.4090, 0.1212, 0.0348, 100513.0000, 36310.0000, 77289.0000
0.7010, 0.1154, 0.0361, 137164.0000, 46352.0000, 123798.0000
0.0020, 0.0010, 0.0000, 35872.0000, 30633.0000, 32963.0000
0.9980, 0.6490, 0.1366, 136395.0000, 239087.0000, 1108427.0000
0.0360, 0.0106, 0.0057, 44013.0000, 26570.0000, 36095.0000
0.2110, 0.0827, 0.0068, 415161.0000, 82477.0000, 279865.0000
0.9320, 0.2721, 0.0892, 66504.0000, 44659.0000, 109860.0000
0.0020, 0.0000, 0.0003, 36965.0000, 27605.0000, 33803.0000
0.9420, 0.2942, 0.0686, 358976.0000, 74002.0000, 270185.0000
