R=50_result, R=100_result, R=150_result, R=50_time, R=100_time, R=150_time
0.0000, 0.0000, 0.0960, 24791.0000, 23903.0000, 884271.0000
0.9160, 1.0000, 1.0000, 984106.0000, 183199.0000, 170747.0000
0.0100, 0.0180, 0.0150, 55527.0000, 85732.0000, 119794.0000
0.8420, 0.9980, 1.0000, 256693.0000, 118074.0000, 76811.0000
0.0000, 0.1170, 0.6360, 26703.0000, 1648800.0000, 1040898.0000
0.5060, 0.6560, 0.7040, 652285.0000, 1285956.0000, 2392922.0000
0.6600, 0.9870, 1.0000, 899174.0000, 259060.0000, 196456.0000
0.3360, 0.5960, 0.7610, 243330.0000, 304326.0000, 443755.0000
0.0000, 0.0910, 0.3340, 34270.0000, 38283.0000, 38321.0000
0.9990, 1.0000, 1.0000, 618762.0000, 267210.0000, 195670.0000
0.5470, 0.9590, 0.9590, 559191.0000, 184361.0000, 295566.0000
0.7810, 0.9500, 1.0000, 736671.0000, 323591.0000, 229539.0000
0.1040, 0.5340, 0.8580, 47795.0000, 73139.0000, 99371.0000
0.0000, 0.0000, 0.1420, 24538.0000, 25762.0000, 308994.0000
0.0000, 0.0030, 0.0020, 45568.0000, 87138.0000, 118716.0000
0.8500, 0.8900, 0.9480, 390452.0000, 637996.0000, 808556.0000
0.2350, 0.7030, 0.8510, 145330.0000, 166495.0000, 204146.0000
0.2850, 0.4990, 0.6460, 68320.0000, 77240.0000, 78884.0000
0.2210, 0.7840, 1.0000, 92634.0000, 627104.0000, 91473.0000
0.0000, 0.0100, 0.4610, 27141.0000, 205060.0000, 637740.0000
0.0610, 0.2710, 0.4620, 31483.0000, 80912.0000, 103073.0000
0.0500, 0.0750, 0.0710, 70926.0000, 124929.0000, 186035.0000
0.4690, 0.7300, 0.9720, 2236031.0000, 4928976.0000, 2897840.0000
0.1070, 0.6730, 0.9980, 47644.0000, 394353.0000, 443781.0000
0.7730, 1.0000, 1.0000, 1420503.0000, 755378.0000, 1408895.0000
0.8370, 0.9560, 0.9630, 531592.0000, 331610.0000, 330252.0000
0.0000, 0.0000, 0.1100, 26396.0000, 25347.0000, 93953.0000
0.7060, 0.9920, 1.0000, 1064080.0000, 215127.0000, 132212.0000
0.0300, 0.4620, 0.9360, 47402.0000, 362780.0000, 1557965.0000
0.0000, 0.0000, 0.0040, 31937.0000, 43970.0000, 67281.0000
0.0000, 0.0000, 0.3180, 20705.0000, 18690.0000, 183646.0000
0.0240, 0.3880, 0.9320, 43942.0000, 193077.0000, 197683.0000
0.0000, 0.0000, 0.0780, 23335.0000, 23281.0000, 47206.0000
0.2130, 0.3190, 0.3450, 47280.0000, 67121.0000, 99530.0000
0.0220, 0.1280, 0.2120, 28104.0000, 43334.0000, 56334.0000
0.1000, 0.1430, 0.1380, 125911.0000, 215069.0000, 321566.0000
0.6090, 0.8990, 0.9770, 168307.0000, 237093.0000, 357862.0000
0.0300, 0.0410, 0.0480, 98451.0000, 182484.0000, 234508.0000
0.0020, 0.0460, 0.0810, 27308.0000, 468613.0000, 941277.0000
0.2090, 0.6690, 1.0000, 56496.0000, 302176.0000, 609577.0000
0.7460, 1.0000, 1.0000, 306835.0000, 252170.0000, 245774.0000
0.0290, 0.1670, 0.3920, 34998.0000, 42645.0000, 50627.0000
0.8490, 0.9790, 0.9970, 295611.0000, 352293.0000, 426856.0000
0.3590, 0.4720, 0.4350, 574368.0000, 614371.0000, 949002.0000
0.0000, 0.0000, 0.2650, 27511.0000, 26211.0000, 154078.0000
0.7930, 0.9980, 1.0000, 457960.0000, 114580.0000, 82158.0000
0.0750, 0.1790, 0.2200, 70813.0000, 328640.0000, 479535.0000
0.0000, 0.0030, 0.3140, 19783.0000, 39849.0000, 120711.0000
0.0540, 0.2150, 0.4100, 172708.0000, 275565.0000, 342857.0000
0.2800, 0.8880, 1.0000, 383207.0000, 663005.0000, 139468.0000
0.0000, 0.0380, 0.5050, 22694.0000, 39339.0000, 692211.0000
0.7090, 0.7010, 0.7250, 513742.0000, 803627.0000, 1327055.0000
0.8910, 0.9990, 1.0000, 1427617.0000, 499055.0000, 762705.0000
0.0060, 0.1140, 0.3710, 36324.0000, 57473.0000, 77058.0000
0.0000, 0.0320, 0.0720, 26993.0000, 42871.0000, 60019.0000
0.2440, 0.8350, 1.0000, 152927.0000, 956076.0000, 68403.0000
0.0070, 0.3700, 0.9120, 38075.0000, 183493.0000, 612653.0000
0.4320, 0.7330, 0.7150, 135694.0000, 189836.0000, 313645.0000
0.1260, 0.1280, 0.1340, 144753.0000, 207226.0000, 281803.0000
0.2680, 0.8690, 1.0000, 449100.0000, 265700.0000, 148493.0000
