alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1570, 0.0269, 0.0064, 70033.0000, 11024.0000, 109049.0000
0.2220, 0.0346, 0.0086, 43680.0000, 7348.0000, 69266.0000
0.0700, 0.0231, 0.0037, 11128.0000, 2287.0000, 15234.0000
0.2270, 0.0346, 0.0075, 27389.0000, 4665.0000, 44183.0000
0.1430, 0.0221, 0.0053, 20160.0000, 4499.0000, 29969.0000
0.1980, 0.0365, 0.0069, 32788.0000, 6280.0000, 45423.0000
0.1020, 0.0144, 0.0037, 14001.0000, 2747.0000, 20175.0000
0.1120, 0.0192, 0.0032, 18125.0000, 2967.0000, 24748.0000
0.0890, 0.0192, 0.0032, 13437.0000, 3917.0000, 20436.0000
0.0110, 0.0010, 0.0004, 2589.0000, 1198.0000, 3066.0000
0.1730, 0.0221, 0.0043, 25422.0000, 4428.0000, 30129.0000
0.1440, 0.0192, 0.0050, 21499.0000, 4141.0000, 25764.0000
0.1340, 0.0192, 0.0041, 26513.0000, 5672.0000, 38163.0000
0.1670, 0.0240, 0.0047, 29931.0000, 5240.0000, 46546.0000
0.1440, 0.0250, 0.0051, 21874.0000, 5086.0000, 36359.0000
0.1800, 0.0317, 0.0066, 22649.0000, 4229.0000, 36812.0000
0.0920, 0.0212, 0.0035, 13247.0000, 3068.0000, 17646.0000
0.1660, 0.0250, 0.0048, 28516.0000, 6148.0000, 34418.0000
0.0810, 0.0202, 0.0024, 10858.0000, 2080.0000, 13574.0000
0.3730, 0.0971, 0.0250, 101181.0000, 19070.0000, 182433.0000
0.1260, 0.0231, 0.0032, 12079.0000, 2510.0000, 16318.0000
0.0840, 0.0115, 0.0028, 15794.0000, 3223.0000, 20351.0000
0.1170, 0.0192, 0.0031, 14404.0000, 3082.0000, 19639.0000
0.0970, 0.0221, 0.0038, 19407.0000, 4801.0000, 23593.0000
0.0880, 0.0067, 0.0033, 9024.0000, 2070.0000, 12321.0000
0.2500, 0.0596, 0.0101, 46340.0000, 8137.0000, 72998.0000
0.2780, 0.0654, 0.0155, 84962.0000, 12174.0000, 119183.0000
0.0140, 0.0029, 0.0004, 6551.0000, 1616.0000, 8419.0000
0.1760, 0.0365, 0.0085, 39138.0000, 5925.0000, 51348.0000
0.2930, 0.0740, 0.0170, 84009.0000, 14417.0000, 128483.0000
0.1260, 0.0192, 0.0035, 19698.0000, 3412.0000, 22566.0000
0.0920, 0.0115, 0.0038, 17942.0000, 3104.0000, 21881.0000
0.1330, 0.0269, 0.0047, 20380.0000, 3475.0000, 27007.0000
0.1420, 0.0183, 0.0042, 23512.0000, 4049.0000, 34169.0000
0.0780, 0.0125, 0.0020, 14389.0000, 2671.0000, 15865.0000
0.0870, 0.0135, 0.0029, 22698.0000, 3872.0000, 23965.0000
0.1110, 0.0115, 0.0029, 11121.0000, 2232.0000, 17150.0000
0.1670, 0.0298, 0.0069, 35981.0000, 5673.0000, 42928.0000
0.1300, 0.0154, 0.0026, 15957.0000, 3050.0000, 21060.0000
0.0040, 0.0029, 0.0001, 1653.0000, 1173.0000, 2345.0000
0.1920, 0.0317, 0.0049, 28384.0000, 4464.0000, 38409.0000
0.0980, 0.0163, 0.0029, 12200.0000, 2475.0000, 17895.0000
0.0830, 0.0135, 0.0026, 13411.0000, 2670.0000, 20869.0000
0.3040, 0.0683, 0.0165, 75075.0000, 11230.0000, 126535.0000
0.2260, 0.0490, 0.0088, 42512.0000, 7157.0000, 66675.0000
