alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1940, 0.1144, 0.0127, 1760794.0000, 263231.0000, 1075248.0000
0.2340, 0.1337, 0.0156, 905383.0000, 130294.0000, 547751.0000
0.0020, 0.0000, 0.0001, 39142.0000, 27582.0000, 35164.0000
0.2790, 0.0413, 0.0149, 480444.0000, 90325.0000, 327229.0000
0.1780, 0.0615, 0.0124, 680418.0000, 115608.0000, 493001.0000
0.9440, 0.6192, 0.1499, 1580411.0000, 468072.0000, 2747338.0000
0.1170, 0.0298, 0.0064, 1286893.0000, 213236.0000, 843108.0000
0.1530, 0.0231, 0.0079, 152831.0000, 43327.0000, 104787.0000
0.0040, 0.0019, 0.0006, 58327.0000, 27565.0000, 43197.0000
0.1790, 0.0337, 0.0080, 451014.0000, 85309.0000, 290297.0000
0.4770, 0.1356, 0.0297, 607925.0000, 99243.0000, 389913.0000
0.1020, 0.0250, 0.0030, 628301.0000, 100427.0000, 365953.0000
1.0000, 0.8106, 0.1898, 1187590.0000, 1376797.0000, 8602102.0000
0.4140, 0.1115, 0.0339, 723665.0000, 137671.0000, 519160.0000
0.0010, 0.0000, 0.0000, 74697.0000, 30390.0000, 53506.0000
0.4590, 0.1615, 0.0413, 2983299.0000, 558161.0000, 2588874.0000
0.2510, 0.0644, 0.0179, 540031.0000, 101833.0000, 379329.0000
0.1010, 0.0346, 0.0042, 170796.0000, 43096.0000, 111705.0000
0.9370, 0.4692, 0.1015, 2353444.0000, 901068.0000, 4798444.0000
0.3470, 0.0856, 0.0202, 233159.0000, 51103.0000, 151494.0000
0.0000, 0.0000, 0.0000, 31918.0000, 23335.0000, 28123.0000
0.3020, 0.0702, 0.0177, 2474167.0000, 342265.0000, 1465281.0000
0.5560, 0.2192, 0.0554, 3034320.0000, 574702.0000, 2855214.0000
0.9310, 0.4606, 0.1301, 6825663.0000, 2334442.0000, 12168737.0000
0.2540, 0.0933, 0.0193, 1147312.0000, 168758.0000, 704342.0000
0.8910, 0.6394, 0.1132, 5893327.0000, 1733132.0000, 9667599.0000
0.7290, 0.3529, 0.0736, 7403700.0000, 1476652.0000, 6194450.0000
0.7790, 0.2385, 0.0677, 919950.0000, 165023.0000, 715462.0000
0.0100, 0.0000, 0.0004, 72467.0000, 36466.0000, 55777.0000
0.5970, 0.2635, 0.0604, 4389353.0000, 869169.0000, 4087132.0000
0.0480, 0.0077, 0.0007, 92638.0000, 32346.0000, 61800.0000
0.0550, 0.0183, 0.0041, 137615.0000, 43639.0000, 92879.0000
0.5550, 0.3163, 0.0416, 18064554.0000, 2894163.0000, 12245279.0000
0.4120, 0.1769, 0.0389, 1776411.0000, 282962.0000, 1279589.0000
0.9820, 0.5740, 0.1504, 2895575.0000, 897796.0000, 4658687.0000
0.1390, 0.0442, 0.0048, 417738.0000, 69807.0000, 231595.0000
