cubeSize=100_result, cubeSize=200_result, cubeSize=100_time, cubeSize=200_time
0.0000, 0.0036, 26767.0000, 983227.0000
0.0036, 0.0007, 34607.0000, 35339.0000
0.0939, 0.0713, 1048668.0000, 4524134.0000
0.0017, 0.0119, 431330.0000, 1616703.0000
0.0011, 0.0016, 35676.0000, 116035.0000
0.0472, 0.0547, 370325.0000, 2242338.0000
0.0016, 0.0086, 58076.0000, 508888.0000
0.0000, 0.0007, 21328.0000, 39858.0000
0.0001, 0.0034, 32433.0000, 109160.0000
0.0000, 0.0001, 18262.0000, 34525.0000
0.0012, 0.0095, 47249.0000, 320066.0000
0.0000, 0.0001, 25440.0000, 55013.0000
0.0000, 0.0004, 26456.0000, 62656.0000
0.0086, 0.0173, 117416.0000, 638505.0000
0.0022, 0.0008, 29933.0000, 34368.0000
0.0001, 0.0025, 31248.0000, 82100.0000
0.0035, 0.0102, 95207.0000, 711542.0000
0.0000, 0.0000, 31956.0000, 48711.0000
0.0000, 0.0061, 35795.0000, 291047.0000
0.0087, 0.0188, 82997.0000, 664519.0000
0.0000, 0.0014, 26742.0000, 45527.0000
0.0460, 0.0587, 680147.0000, 2938966.0000
0.0019, 0.0016, 27423.0000, 43712.0000
0.0607, 0.0460, 1631692.0000, 4015659.0000
0.0386, 0.0207, 193861.0000, 617319.0000
0.0470, 0.0450, 387832.0000, 2993051.0000
0.0001, 0.0015, 32528.0000, 113255.0000
0.0028, 0.0183, 68329.0000, 796318.0000
0.0002, 0.0084, 64706.0000, 395032.0000
0.0000, 0.0017, 32558.0000, 69067.0000
0.0000, 0.0005, 33978.0000, 57342.0000
0.0066, 0.0079, 59041.0000, 229053.0000
0.0566, 0.0477, 964435.0000, 3054780.0000
0.0000, 0.0052, 30928.0000, 214827.0000
0.0000, 0.0025, 30980.0000, 158462.0000
0.0003, 0.0064, 127728.0000, 841740.0000
0.0062, 0.0083, 54088.0000, 186164.0000
0.0017, 0.0079, 66482.0000, 457634.0000
0.0632, 0.0631, 392980.0000, 11108079.0000
0.0116, 0.0196, 268344.0000, 3056218.0000
0.0275, 0.0176, 116579.0000, 814962.0000
0.0026, 0.0110, 58410.0000, 613862.0000
0.0001, 0.0018, 25881.0000, 48193.0000
0.0000, 0.0108, 45585.0000, 2713441.0000
0.0061, 0.0016, 44884.0000, 62842.0000
0.0014, 0.0120, 36820.0000, 1142726.0000
0.1200, 0.0949, 1243295.0000, 7328815.0000
0.0000, 0.0050, 31226.0000, 139562.0000
0.0087, 0.0073, 73076.0000, 330958.0000
0.0000, 0.0000, 28547.0000, 37994.0000
0.0017, 0.0125, 71569.0000, 1374431.0000
0.0096, 0.0176, 145665.0000, 1355963.0000
0.0000, 0.0002, 22989.0000, 32528.0000
0.0473, 0.0466, 444073.0000, 5286183.0000
0.0000, 0.0058, 26585.0000, 1217921.0000
0.0278, 0.0124, 153361.0000, 357681.0000
0.0000, 0.0004, 27316.0000, 184120.0000
0.0000, 0.0005, 30303.0000, 57414.0000
0.0000, 0.0000, 22910.0000, 28513.0000
0.0000, 0.0006, 26521.0000, 34381.0000
0.0235, 0.0362, 114839.0000, 5090076.0000
0.0000, 0.0002, 27039.0000, 72915.0000
0.0065, 0.0066, 140368.0000, 424549.0000
0.1619, 0.1264, 2730797.0000, 11403855.0000
0.0000, 0.0033, 32102.0000, 234140.0000
0.0209, 0.0202, 208877.0000, 764679.0000
0.0265, 0.0417, 275120.0000, 3158496.0000
0.1239, 0.0974, 2790744.0000, 11991858.0000
0.0191, 0.0192, 94710.0000, 2434916.0000
0.0558, 0.0371, 419951.0000, 2286271.0000
0.0001, 0.0013, 26946.0000, 54826.0000
0.0000, 0.0034, 19794.0000, 77367.0000
0.0725, 0.0374, 1176847.0000, 3062775.0000
0.0038, 0.0024, 32398.0000, 69278.0000
0.0063, 0.0110, 91375.0000, 440982.0000
0.0001, 0.0009, 36339.0000, 47897.0000
0.0023, 0.0012, 34026.0000, 49120.0000
0.0000, 0.0004, 31786.0000, 39359.0000
0.0543, 0.0557, 524976.0000, 6688365.0000
0.0073, 0.0088, 71919.0000, 257013.0000
0.0000, 0.0020, 26805.0000, 64385.0000
0.0000, 0.0007, 26769.0000, 334232.0000
0.0000, 0.0038, 26094.0000, 180316.0000
0.1027, 0.0855, 1712541.0000, 5709875.0000
0.0011, 0.0056, 30451.0000, 152610.0000
0.0008, 0.0061, 35438.0000, 197443.0000
0.0254, 0.0325, 203812.0000, 1019106.0000
0.0000, 0.0014, 28687.0000, 128114.0000
0.0539, 0.0300, 531907.0000, 2415204.0000
0.1089, 0.0702, 611830.0000, 2920968.0000
0.0000, 0.0009, 27465.0000, 33418.0000
0.0000, 0.0005, 33118.0000, 49624.0000
0.0000, 0.0010, 30003.0000, 36356.0000
0.0118, 0.0161, 128522.0000, 465420.0000
0.0108, 0.0162, 95203.0000, 386156.0000
0.0004, 0.0036, 27746.0000, 325486.0000
0.0034, 0.0218, 131048.0000, 2751707.0000
0.0092, 0.0077, 59708.0000, 637494.0000
0.0485, 0.0418, 229359.0000, 1293770.0000
0.1476, 0.1158, 3765261.0000, 11471462.0000
